Data,Time,ABEV3M1,B3SA3M1,BBAS3M1,BBDC4M1,ITUB4M1,MGLU3M1,PETR4M1,VALE3M1
2019.02.18,13:49,18.20000,31.87000,54.40000,45.29000,37.03000,165.11000,26.53000,45.46000
2019.02.20,15:25,18.31000,32.92000,53.98000,45.35000,37.83000,164.20000,27.41000,45.79000
2019.02.20,15:26,18.32000,32.96000,54.00000,45.36000,37.83000,163.86000,27.41000,45.79000
2019.02.20,15:29,18.33000,32.98000,53.96000,45.37000,37.85000,164.12000,27.43000,45.82000
2019.02.20,15:29,18.33000,32.99000,53.98000,45.38000,37.85000,164.09000,27.43000,45.82000
2019.02.20,15:31,18.32000,32.99000,53.98000,45.37000,37.83000,164.44000,27.42000,45.78000
2019.02.20,15:32,18.31000,32.95000,53.97000,45.38000,37.84000,164.24000,27.40000,45.77000
2019.02.20,15:33,18.31000,32.95000,53.97000,45.38000,37.86000,164.29000,27.41000,45.78000
2019.02.20,15:34,18.31000,33.00000,53.98000,45.37000,37.84000,164.40000,27.40000,45.75000
2019.02.20,15:36,18.32000,33.00000,53.98000,45.42000,37.85000,164.26000,27.41000,45.75000
2019.02.20,15:36,18.32000,33.01000,54.01000,45.42000,37.85000,164.24000,27.41000,45.76000
2019.02.20,15:36,18.32000,33.01000,54.01000,45.42000,37.85000,164.24000,27.41000,45.77000
2019.02.20,15:55,18.30000,32.91000,53.99000,45.30000,37.85000,165.10000,27.41000,45.80000
2019.02.20,15:57,18.30000,32.91000,53.98000,45.22000,37.79000,164.87000,27.37000,45.76000
2019.02.20,15:58,18.29000,32.92000,53.97000,45.24000,37.81000,164.85000,27.35000,45.76000
2019.02.20,16:02,18.25000,32.80000,53.83000,45.11000,37.71000,164.46000,27.30000,45.62000
2019.02.20,16:02,18.26000,32.79000,53.88000,45.14000,37.73000,164.59000,27.30000,45.62000
2019.02.20,16:02,18.28000,32.84000,53.93000,45.20000,37.75000,164.41000,27.34000,45.66000
2019.02.20,16:03,18.28000,32.84000,53.94000,45.20000,37.77000,164.41000,27.34000,45.66000
2019.02.20,16:13,18.29000,32.85000,53.91000,45.16000,37.73000,164.56000,27.33000,45.69000
2019.02.20,16:13,18.29000,32.85000,53.90000,45.16000,37.73000,164.65000,27.32000,45.70000
2019.02.20,16:25,18.24000,32.81000,53.77000,45.01000,37.59000,164.40000,27.25000,45.62000
2019.02.20,16:27,18.25000,32.84000,53.80000,44.92000,37.57000,164.45000,27.27000,45.60000
2019.02.20,16:36,18.24000,32.84000,53.84000,44.94000,37.65000,164.27000,27.27000,45.86000
2019.02.20,16:38,18.21000,32.83000,53.81000,44.90000,37.60000,164.26000,27.26000,45.81000
2019.02.20,16:39,18.20000,32.81000,53.85000,44.94000,37.64000,164.36000,27.27000,45.86000
2019.02.20,16:44,18.20000,32.86000,53.82000,44.94000,37.61000,164.36000,27.28000,45.86000
2019.02.20,16:51,18.20000,32.80000,53.72000,44.82000,37.54000,163.55000,27.21000,45.85000
2019.02.20,16:54,18.19000,32.79000,53.72000,44.89000,37.58000,163.62000,27.22000,45.85000
2019.02.20,16:59,18.15000,32.61000,53.54000,44.69000,37.44000,163.62000,27.11000,45.66000
2019.02.20,17:00,18.16000,32.46000,53.32000,44.65000,37.33000,163.20000,27.07000,45.65000
2019.02.20,17:10,18.20000,32.51000,53.43000,44.71000,37.41000,163.20000,27.13000,45.75000
2019.02.20,17:16,18.20000,32.57000,53.40000,44.75000,37.47000,162.71000,27.16000,45.79000
2019.02.20,17:17,18.19000,32.65000,53.47000,44.76000,37.48000,162.60000,27.14000,45.80000
2019.02.20,17:24,18.19000,32.79000,53.52000,44.77000,37.50000,162.56000,27.18000,45.90000
2019.02.20,17:24,18.19000,32.80000,53.52000,44.77000,37.51000,163.10000,27.19000,45.89000
2019.02.20,17:25,18.18000,32.78000,53.49000,44.73000,37.47000,163.03000,27.17000,45.85000
2019.02.20,17:27,18.16000,32.69000,53.35000,44.65000,37.41000,163.05000,27.14000,45.81000
2019.02.20,17:28,18.17000,32.73000,53.45000,44.67000,37.44000,163.01000,27.16000,45.86000
2019.02.20,17:29,18.17000,32.75000,53.47000,44.73000,37.46000,163.03000,27.16000,45.86000
2019.02.20,17:33,18.19000,32.67000,53.40000,44.73000,37.46000,163.25000,27.16000,45.85000
2019.02.20,17:34,18.20000,32.66000,53.39000,44.72000,37.45000,163.36000,27.15000,45.86000
2019.02.20,17:34,18.19000,32.65000,53.36000,44.74000,37.44000,163.34000,27.14000,45.83000
2019.02.20,17:35,18.17000,32.53000,53.33000,44.63000,37.37000,163.20000,27.10000,45.80000
2019.02.20,17:37,18.17000,32.63000,53.34000,44.69000,37.41000,163.67000,27.11000,45.83000
2019.02.20,17:39,18.17000,32.61000,53.38000,44.64000,37.43000,163.10000,27.09000,45.88000
2019.02.20,17:41,18.18000,32.65000,53.41000,44.69000,37.45000,163.04000,27.10000,45.86000
2019.02.20,17:42,18.18000,32.65000,53.47000,44.74000,37.45000,163.03000,27.14000,45.89000
2019.02.20,17:45,18.16000,32.61000,53.38000,44.63000,37.41000,163.11000,27.05000,45.79000
2019.02.20,17:46,18.16000,32.61000,53.35000,44.65000,37.43000,162.80000,27.05000,45.80000
2019.02.20,17:47,18.15000,32.61000,53.30000,44.63000,37.42000,162.62000,27.05000,45.79000
2019.02.20,17:48,18.16000,32.63000,53.35000,44.68000,37.45000,163.15000,27.09000,45.82000
2019.02.20,17:49,18.16000,32.65000,53.33000,44.64000,37.40000,162.89000,27.07000,45.81000
2019.02.20,17:50,18.14000,32.66000,53.32000,44.64000,37.39000,162.92000,27.09000,45.80000
2019.02.20,17:50,18.16000,32.72000,53.24000,44.68000,37.42000,163.27000,27.08000,45.83000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.20,17:54,18.15000,32.55000,52.96000,44.58000,37.27000,162.50000,27.04000,45.80000
2019.02.21,10:42,18.32000,32.42000,53.34000,44.70000,37.40000,161.71000,27.06000,45.42000
2019.02.21,10:42,18.32000,32.42000,53.33000,44.74000,37.45000,161.77000,27.07000,45.45000
2019.02.21,10:43,18.32000,32.62000,53.44000,44.70000,37.44000,161.77000,27.05000,45.41000
2019.02.21,10:46,18.35000,32.60000,53.46000,44.80000,37.45000,161.77000,27.10000,45.51000
2019.02.21,10:46,18.35000,32.62000,53.48000,44.76000,37.43000,161.73000,27.10000,45.51000
2019.02.21,10:50,18.33000,32.60000,53.48000,44.80000,37.43000,161.53000,27.10000,45.51000
2019.02.21,10:51,18.33000,32.57000,53.50000,44.79000,37.48000,161.74000,27.10000,45.49000
2019.02.21,10:51,18.32000,32.60000,53.48000,44.79000,37.48000,161.62000,27.09000,45.49000
2019.02.21,10:53,18.33000,32.60000,53.49000,44.81000,37.50000,162.12000,27.13000,45.55000
2019.02.21,10:53,18.30000,32.57000,53.50000,44.77000,37.55000,162.15000,27.12000,45.54000
2019.02.21,10:54,18.32000,32.54000,53.44000,44.79000,37.53000,162.06000,27.09000,45.54000
2019.02.21,10:56,18.31000,32.55000,53.44000,44.85000,37.54000,161.94000,27.12000,45.55000
2019.02.21,10:56,18.31000,32.54000,53.45000,44.85000,37.54000,161.92000,27.11000,45.53000
2019.02.21,10:58,18.32000,32.51000,53.40000,44.83000,37.49000,162.06000,27.08000,45.51000
2019.02.21,10:58,18.31000,32.53000,53.29000,44.79000,37.48000,162.00000,27.09000,45.51000
2019.02.21,10:59,18.31000,32.49000,53.36000,44.80000,37.48000,161.92000,27.09000,45.52000
2019.02.21,11:01,18.31000,32.47000,53.37000,44.78000,37.47000,161.92000,27.05000,45.55000
2019.02.21,11:17,18.27000,32.45000,53.42000,44.80000,37.48000,162.98000,27.07000,45.59000
2019.02.21,11:18,18.27000,32.47000,53.44000,44.82000,37.52000,162.70000,27.08000,45.59000
2019.02.21,11:19,18.27000,32.47000,53.41000,44.84000,37.52000,163.09000,27.07000,45.58000
2019.02.21,11:19,18.27000,32.49000,53.43000,44.82000,37.52000,163.09000,27.05000,45.59000
2019.02.21,11:21,18.27000,32.46000,53.41000,44.81000,37.50000,162.81000,27.05000,45.58000
2019.02.21,11:22,18.27000,32.48000,53.42000,44.80000,37.50000,162.50000,27.06000,45.58000
2019.02.21,11:22,18.26000,32.49000,53.44000,44.80000,37.48000,162.39000,27.04000,45.56000
2019.02.21,11:23,18.27000,32.47000,53.47000,44.85000,37.49000,162.17000,27.05000,45.56000
2019.02.21,11:24,18.26000,32.46000,53.58000,44.82000,37.48000,162.30000,27.05000,45.49000
2019.02.21,11:25,18.26000,32.46000,53.54000,44.80000,37.49000,162.45000,27.03000,45.44000
2019.02.21,11:26,18.27000,32.49000,53.55000,44.83000,37.49000,162.47000,27.03000,45.45000
2019.02.25,14:53,18.32000,33.44000,52.48000,44.15000,36.41000,177.63000,26.84000,47.02000
2019.02.25,14:53,18.32000,33.43000,52.43000,44.12000,36.39000,177.56000,26.83000,47.02000
2019.02.25,14:54,18.32000,33.45000,52.44000,44.14000,36.38000,177.48000,26.81000,47.01000
2019.02.25,14:55,18.32000,33.39000,52.44000,44.13000,36.38000,177.14000,26.83000,47.03000
2019.02.25,14:57,18.32000,33.44000,52.46000,44.14000,36.38000,177.50000,26.84000,47.01000